"","probeID","geneNames","ensemblID","distToTSS"
"67","cg14365123",NA,NA,NA
"68","cg08528984",NA,NA,NA
"69","cg08537652",NA,NA,NA
"70","cg02737335",NA,NA,NA
"71","cg24919884",NA,NA,NA
"72","cg07453618",NA,NA,NA
"73","cg10074513",NA,NA,NA
"74","cg13501117",NA,NA,NA
"75","cg19135761",NA,NA,NA
"76","cg26128092",NA,NA,NA
"77","cg04391111",NA,NA,NA
"78","cg00565688",NA,NA,NA
"79","cg25885108",NA,NA,NA
"80","cg19783114",NA,NA,NA
"81","cg16741710",NA,NA,NA
"82","cg05924583",NA,NA,NA
"83","cg03568718",NA,NA,NA
"84","cg21906716",NA,NA,NA
"85","cg25115460",NA,NA,NA
"86","cg16607065",NA,NA,NA
"87","cg03846767",NA,NA,NA
"88","cg26208930",NA,NA,NA
"89","cg08670691",NA,NA,NA
"90","cg10051054",NA,NA,NA
"91","cg14550570",NA,NA,NA
"92","cg19148051",NA,NA,NA
"93","cg14213620",NA,NA,NA
"94","cg25762395",NA,NA,NA
"95","cg09633588",NA,NA,NA
"96","cg20959866",NA,NA,NA
"97","cg17525406",NA,NA,NA
"98","cg13614083",NA,NA,NA
"99","cg19814116",NA,NA,NA
"100","cg08080029",NA,NA,NA
"101","cg00282347",NA,NA,NA
"102","cg23323711",NA,NA,NA
"103","cg14303330",NA,NA,NA
"104","cg19180828",NA,NA,NA
"105","cg03716999",NA,NA,NA
"106","cg00030047",NA,NA,NA
"107","cg15731815",NA,NA,NA
"108","cg17145806",NA,NA,NA
"109","cg17992056",NA,NA,NA
"110","cg06940574",NA,NA,NA
"111","cg15341760",NA,NA,NA
"112","cg14958889",NA,NA,NA
"113","cg21927975",NA,NA,NA
"114","cg04055049",NA,NA,NA
"115","cg14566624",NA,NA,NA
"116","cg17236617",NA,NA,NA
"117","cg25165880",NA,NA,NA
"118","cg09549827",NA,NA,NA
"119","cg13066963",NA,NA,NA
"120","cg02084087",NA,NA,NA
"121","cg06859828",NA,NA,NA
"122","cg22805308",NA,NA,NA
"123","cg04818845",NA,NA,NA
"124","cg07274506",NA,NA,NA
"125","cg05086993",NA,NA,NA
"126","cg14186992",NA,NA,NA
"127","cg09143576",NA,NA,NA
"128","cg06066711",NA,NA,NA
"129","cg19884658",NA,NA,NA
"130","cg06778853",NA,NA,NA
"131","cg08661290",NA,NA,NA
"132","cg11688219",NA,NA,NA
"133","cg02904365",NA,NA,NA
"134","cg20668607",NA,NA,NA
"135","cg03630344",NA,NA,NA
"136","cg06487986",NA,NA,NA
"137","cg25514503",NA,NA,NA
"138","cg10500283",NA,NA,NA
"139","cg20625138",NA,NA,NA
"140","cg08840010",NA,NA,NA
"141","cg23959705",NA,NA,NA
"142","cg17425224",NA,NA,NA
"143","cg25007680",NA,NA,NA
"144","cg19560758",NA,NA,NA
"145","cg11283860",NA,NA,NA
"146","cg11832727",NA,NA,NA
"147","cg08341978",NA,NA,NA
"148","cg07483064",NA,NA,NA
"149","cg12711814",NA,NA,NA
"150","cg02981703",NA,NA,NA
"151","cg25919221",NA,NA,NA
"152","cg16084788",NA,NA,NA
"153","cg24027679",NA,NA,NA
"154","cg03679305",NA,NA,NA
"155","cg24480859",NA,NA,NA
"156","cg17940013",NA,NA,NA
"157","cg10429262",NA,NA,NA
"158","cg22601917",NA,NA,NA
"159","cg25284492",NA,NA,NA
"160","cg16290693",NA,NA,NA
"161","cg13724813",NA,NA,NA
"162","cg18783781",NA,NA,NA
"163","cg13631913",NA,NA,NA
"164","cg20994801",NA,NA,NA
"165","cg23166362",NA,NA,NA
"166","cg23508540",NA,NA,NA
"167","cg26985289",NA,NA,NA
"168","cg10740965",NA,NA,NA
"169","cg27308387",NA,NA,NA
"170","cg15226751",NA,NA,NA
"171","cg04413397",NA,NA,NA
"172","cg01929105",NA,NA,NA
"173","cg03406535",NA,NA,NA
"174","cg25397076",NA,NA,NA
"175","cg08151470",NA,NA,NA
"176","cg11846543",NA,NA,NA
"177","cg06615861",NA,NA,NA
"178","cg23036555",NA,NA,NA
"179","cg14718680",NA,NA,NA
"180","cg09242541",NA,NA,NA
"181","cg07894717",NA,NA,NA
"182","cg04256470",NA,NA,NA
"183","cg15452426",NA,NA,NA
"184","cg11843760",NA,NA,NA
"185","cg20739510",NA,NA,NA
"186","cg15031780",NA,NA,NA
"187","cg10891879",NA,NA,NA
"188","cg09456939",NA,NA,NA
"189","cg05352668",NA,NA,NA
"190","cg00912942",NA,NA,NA
"191","cg00692549",NA,NA,NA
"192","cg15482690",NA,NA,NA
"193","cg12888113",NA,NA,NA
"194","cg18023080",NA,NA,NA
"195","cg21379816",NA,NA,NA
"196","cg21099221",NA,NA,NA
"197","cg23731764",NA,NA,NA
"198","cg03617456",NA,NA,NA
"199","cg04508649",NA,NA,NA
"200","cg21223353",NA,NA,NA
"201","cg07029998",NA,NA,NA
"202","cg11858029",NA,NA,NA
"203","cg15746187",NA,NA,NA
"204","cg06848073",NA,NA,NA
"205","cg01420388",NA,NA,NA
"206","cg10667970",NA,NA,NA
"207","cg06963844",NA,NA,NA
"208","cg17189494",NA,NA,NA
"209","cg07789904",NA,NA,NA
"210","cg13796218",NA,NA,NA
"211","cg06630737",NA,NA,NA
"212","cg20164720",NA,NA,NA
"213","cg17350448",NA,NA,NA
"214","cg05228408",NA,NA,NA
"215","cg01226883",NA,NA,NA
"216","cg01134491",NA,NA,NA
"217","cg27012203",NA,NA,NA
"218","cg02978542",NA,NA,NA
"219","cg23226134",NA,NA,NA
"220","cg14472778",NA,NA,NA
"221","cg03427831",NA,NA,NA
"222","cg06584407",NA,NA,NA
"223","cg20202438",NA,NA,NA
"224","cg14506552",NA,NA,NA
"225","cg22927043",NA,NA,NA
"226","cg11345438",NA,NA,NA
"227","cg04313552",NA,NA,NA
"228","cg11469137",NA,NA,NA
"229","cg23286660",NA,NA,NA
"230","cg05523254",NA,NA,NA
"231","cg09306577",NA,NA,NA
"232","cg15770654",NA,NA,NA
"233","cg23355725",NA,NA,NA
"234","cg19896198",NA,NA,NA
"235","cg17897879",NA,NA,NA
"236","cg13836770",NA,NA,NA
"237","cg26189983",NA,NA,NA
"238","cg09229231",NA,NA,NA
"239","cg01346152",NA,NA,NA
"240","cg18839416",NA,NA,NA
"241","cg24338843",NA,NA,NA
"242","cg18807515",NA,NA,NA
"243","cg03891191",NA,NA,NA
"244","cg09196942",NA,NA,NA
"245","cg05372736",NA,NA,NA
"246","cg10743104",NA,NA,NA
"247","cg18877506",NA,NA,NA
"248","cg25402049",NA,NA,NA
"249","cg12379145",NA,NA,NA
"250","cg25450806",NA,NA,NA
"251","cg19324313",NA,NA,NA
"252","cg17657618",NA,NA,NA
"253","cg21045388",NA,NA,NA
"254","cg20375690",NA,NA,NA
"255","cg24535573",NA,NA,NA
"256","cg15319451",NA,NA,NA
"257","cg05385377",NA,NA,NA
"258","cg22269795",NA,NA,NA
"259","cg25741794",NA,NA,NA
"260","cg23064554",NA,NA,NA
"261","cg20858526",NA,NA,NA
"262","cg15952725",NA,NA,NA
"263","cg05221264",NA,NA,NA
"264","cg25021182",NA,NA,NA
"265","cg24030609",NA,NA,NA
"266","cg02612026",NA,NA,NA
"267","cg21449655",NA,NA,NA
"268","cg11706911",NA,NA,NA
"269","cg17385448",NA,NA,NA
"270","cg09559551",NA,NA,NA
"271","cg16713727",NA,NA,NA
"272","cg15616400",NA,NA,NA
"273","cg07846167",NA,NA,NA
"274","cg23002761",NA,NA,NA
"275","cg10274502",NA,NA,NA
"276","cg15500658",NA,NA,NA
"277","cg07437033",NA,NA,NA
"278","cg08887581",NA,NA,NA
"279","cg24525573",NA,NA,NA
"280","cg27210447",NA,NA,NA
"281","cg13770446",NA,NA,NA
"282","cg21660130",NA,NA,NA
"283","cg15415507",NA,NA,NA
"284","cg15146752",NA,NA,NA
"285","cg18669381",NA,NA,NA
"286","cg27298878",NA,NA,NA
"287","cg05588972",NA,NA,NA
"288","cg26845278",NA,NA,NA
"289","cg16011258",NA,NA,NA
"290","cg07459264",NA,NA,NA
"291","cg21958034",NA,NA,NA
"292","cg08477744",NA,NA,NA
"293","cg18679190",NA,NA,NA
"294","cg12999103",NA,NA,NA
"295","cg11192270",NA,NA,NA
"296","cg24305835",NA,NA,NA
"297","cg03861428",NA,NA,NA
"298","cg19282714",NA,NA,NA
"299","cg15185794",NA,NA,NA
"300","cg17502536",NA,NA,NA
"301","cg22193702",NA,NA,NA
"302","cg01459162",NA,NA,NA
"303","cg12858514",NA,NA,NA
"304","cg23228178",NA,NA,NA
"305","cg18333690",NA,NA,NA
"306","cg01346589",NA,NA,NA
"307","cg21243909",NA,NA,NA
"308","cg05380570",NA,NA,NA
"309","cg06687562",NA,NA,NA
"310","cg19685066",NA,NA,NA
"311","cg17945001",NA,NA,NA
"312","cg23349790",NA,NA,NA
"313","cg13507429",NA,NA,NA
"314","cg14356550",NA,NA,NA
"315","cg07536847",NA,NA,NA
"316","cg11428724",NA,NA,NA
"317","cg18524091",NA,NA,NA
"318","cg21731286",NA,NA,NA
"319","cg18895413",NA,NA,NA
"320","cg21728447",NA,NA,NA
"321","cg00223950",NA,NA,NA
"322","cg10850580",NA,NA,NA
"323","cg18224761",NA,NA,NA
"324","cg10748867",NA,NA,NA
"325","cg18931421",NA,NA,NA
"326","cg05688084",NA,NA,NA
"327","cg23625458",NA,NA,NA
"328","cg11376198",NA,NA,NA
"329","cg07447773",NA,NA,NA
"330","cg11233384",NA,NA,NA
"331","cg06305312",NA,NA,NA
"332","cg15311933",NA,NA,NA
"333","cg23519022",NA,NA,NA
"334","cg13319175",NA,NA,NA
"335","cg19136075",NA,NA,NA
"336","cg21057046",NA,NA,NA
"337","cg22614355",NA,NA,NA
"338","cg10741760",NA,NA,NA
"339","cg19976467",NA,NA,NA
"340","cg21615127",NA,NA,NA
"341","cg04994456",NA,NA,NA
"342","cg09195271",NA,NA,NA
"343","cg16825000",NA,NA,NA
"344","cg24613957",NA,NA,NA
"345","cg22220722",NA,NA,NA
"346","cg11037787",NA,NA,NA
"347","cg19521927",NA,NA,NA
"348","cg24335149",NA,NA,NA
"349","cg14321743",NA,NA,NA
"350","cg07142319",NA,NA,NA
"351","cg16087263",NA,NA,NA
"352","cg11933267",NA,NA,NA
"353","cg03167763",NA,NA,NA
"354","cg06911113",NA,NA,NA
"355","cg00433406",NA,NA,NA
"356","cg04637372",NA,NA,NA
"357","cg08398233",NA,NA,NA
"358","cg12497298",NA,NA,NA
"359","cg11904887",NA,NA,NA
"360","cg26557658",NA,NA,NA
"361","cg20404387",NA,NA,NA
"362","cg13164309",NA,NA,NA
"363","cg00750606",NA,NA,NA
"364","cg23993660",NA,NA,NA
"365","cg06612452",NA,NA,NA
"366","cg03218019",NA,NA,NA
"367","cg08911391",NA,NA,NA
"368","cg15613048",NA,NA,NA
"369","cg18486150",NA,NA,NA
"370","cg13149996",NA,NA,NA
"371","cg06819200",NA,NA,NA
"372","cg22054164",NA,NA,NA
"373","cg26885858",NA,NA,NA
"374","cg22190291",NA,NA,NA
"375","cg23352747",NA,NA,NA
"376","cg20645065",NA,NA,NA
"377","cg22396755",NA,NA,NA
"378","cg07138512",NA,NA,NA
"379","cg20956373",NA,NA,NA
"380","cg18325289",NA,NA,NA
"381","cg02729506",NA,NA,NA
"382","cg12274479",NA,NA,NA
"383","cg04584523",NA,NA,NA
"384","cg27069753",NA,NA,NA
"385","cg14238120",NA,NA,NA
"386","cg10779183",NA,NA,NA
"387","cg16268051",NA,NA,NA
"388","cg03133269",NA,NA,NA
"389","cg07180649",NA,NA,NA
"390","cg26870337",NA,NA,NA
"391","cg15041659",NA,NA,NA
"392","cg11847808",NA,NA,NA
"393","cg02194878",NA,NA,NA
"394","cg00108454",NA,NA,NA
"395","cg25995460",NA,NA,NA
"396","cg11393848",NA,NA,NA
"397","cg00136477",NA,NA,NA
"398","cg22477971",NA,NA,NA
"399","cg03941108",NA,NA,NA
"400","cg14271400",NA,NA,NA
"401","cg00650762",NA,NA,NA
"402","cg01718365",NA,NA,NA
"403","cg06958034",NA,NA,NA
"404","cg08872493",NA,NA,NA
"405","cg20887241",NA,NA,NA
"406","cg06449653",NA,NA,NA
"407","cg01788438",NA,NA,NA
"408","cg10347418",NA,NA,NA
"409","cg18273566",NA,NA,NA
"410","cg00269115",NA,NA,NA
"411","cg17051623",NA,NA,NA
"412","cg11155265",NA,NA,NA
"413","cg23574449",NA,NA,NA
"414","cg21211748",NA,NA,NA
"415","cg22258437",NA,NA,NA
"416","cg19532954",NA,NA,NA
"417","cg22968727",NA,NA,NA
"418","cg12090388",NA,NA,NA
"419","cg02907300",NA,NA,NA
"420","cg22198425",NA,NA,NA
"421","cg22983885",NA,NA,NA
"422","cg04667458",NA,NA,NA
"423","cg03371205",NA,NA,NA
"424","cg24409107",NA,NA,NA
"425","cg09930410",NA,NA,NA
"426","cg08673615",NA,NA,NA
"427","cg18888403",NA,NA,NA
"428","cg08366126",NA,NA,NA
"429","cg24792360",NA,NA,NA
"430","cg26151675",NA,NA,NA
"431","cg18825999",NA,NA,NA
"432","cg15604008",NA,NA,NA
"433","cg26991199",NA,NA,NA
"434","cg09152089",NA,NA,NA
"435","cg25946374",NA,NA,NA
"436","cg08700651",NA,NA,NA
"437","cg07509155",NA,NA,NA
"438","cg15050111",NA,NA,NA
"439","cg16155382",NA,NA,NA
"440","cg13980834",NA,NA,NA
"441","cg03140978",NA,NA,NA
"442","cg02976090",NA,NA,NA
"443","cg02641560",NA,NA,NA
"444","cg02850329",NA,NA,NA
"445","cg11329235",NA,NA,NA
"446","cg10698549",NA,NA,NA
"447","cg10894102",NA,NA,NA
"448","cg02723372",NA,NA,NA
"449","cg25178645",NA,NA,NA
"450","cg14645650",NA,NA,NA
"451","cg27360282",NA,NA,NA
"452","cg18231267",NA,NA,NA
"453","cg04757093",NA,NA,NA
"454","cg18813928",NA,NA,NA
"455","cg00572797",NA,NA,NA
"456","cg08705994",NA,NA,NA
"457","cg23919867",NA,NA,NA
"458","cg00117172",NA,NA,NA
"459","cg06377278",NA,NA,NA
"460","cg22737001",NA,NA,NA
"461","cg24019564",NA,NA,NA
"462","cg03171924",NA,NA,NA
"463","cg14182690",NA,NA,NA
"464","cg13461622",NA,NA,NA
"465","cg06037693",NA,NA,NA
"466","cg16529592",NA,NA,NA
"467","cg21257635",NA,NA,NA
"468","cg17651255",NA,NA,NA
"469","cg12592463",NA,NA,NA
"470","cg13488557",NA,NA,NA
"471","cg06388544",NA,NA,NA
"472","cg21367040",NA,NA,NA
"473","cg24857721",NA,NA,NA
"474","cg04631202",NA,NA,NA
"475","cg05670408",NA,NA,NA
"476","cg15156836",NA,NA,NA
"477","cg21187265",NA,NA,NA
"478","cg02327719",NA,NA,NA
"479","cg16486059",NA,NA,NA
"480","cg15662251",NA,NA,NA
"481","cg23799313",NA,NA,NA
"482","cg06453691",NA,NA,NA
"483","cg04471507",NA,NA,NA
"484","cg23323671",NA,NA,NA
"485","cg04722168",NA,NA,NA
"486","cg15547662",NA,NA,NA
"487","cg18212039",NA,NA,NA
"488","cg04629204",NA,NA,NA
"489","cg05674944",NA,NA,NA
"490","cg07766612",NA,NA,NA
"491","cg16051685",NA,NA,NA
"492","cg13998293",NA,NA,NA
"493","cg22436229",NA,NA,NA
"494","cg16233998",NA,NA,NA
"495","cg25817752",NA,NA,NA
"496","cg11418559",NA,NA,NA
"497","cg18107827",NA,NA,NA
"498","cg25229964",NA,NA,NA
"499","cg13553204",NA,NA,NA
"500","cg04025590",NA,NA,NA
"501","cg14017991",NA,NA,NA
"502","cg01414934",NA,NA,NA
"503","cg03100146",NA,NA,NA
"504","cg16068833",NA,NA,NA
"505","cg08109646",NA,NA,NA
"506","cg10705251",NA,NA,NA
"507","cg18634211",NA,NA,NA
"508","cg16530429",NA,NA,NA
"509","cg06577005",NA,NA,NA
"510","cg14211646",NA,NA,NA
"511","cg20345978",NA,NA,NA
"512","cg17154022",NA,NA,NA
"513","cg01031251",NA,NA,NA
"514","cg19259146",NA,NA,NA
"515","cg17385674",NA,NA,NA
"516","cg11856093",NA,NA,NA
"517","cg12806381",NA,NA,NA
"518","cg10971346",NA,NA,NA
"519","cg14333454",NA,NA,NA
"520","cg03421300",NA,NA,NA
"521","cg17572572",NA,NA,NA
"522","cg23489497",NA,NA,NA
"523","cg21680178",NA,NA,NA
"524","cg08360728",NA,NA,NA
"525","cg10055471",NA,NA,NA
"526","cg24580782",NA,NA,NA
"527","cg06650260",NA,NA,NA
"528","cg16762386",NA,NA,NA
"529","cg16417937",NA,NA,NA
"530","cg08393541",NA,NA,NA
"531","cg21921474",NA,NA,NA
"532","cg19125999",NA,NA,NA
"533","cg16352283",NA,NA,NA
"534","cg22395192",NA,NA,NA
"535","cg15076659",NA,NA,NA
"536","cg21824902",NA,NA,NA
"537","cg15665653",NA,NA,NA
"538","cg06839953",NA,NA,NA
"539","cg23652939",NA,NA,NA
"540","cg21604615",NA,NA,NA
"541","cg23299127",NA,NA,NA
"542","cg20651453",NA,NA,NA
"543","cg19979773",NA,NA,NA
"544","cg05436231",NA,NA,NA
"545","cg15166089",NA,NA,NA
"546","cg12112929",NA,NA,NA
"547","cg14963371",NA,NA,NA
"548","cg19784449",NA,NA,NA
"549","cg14887509",NA,NA,NA
"550","cg11254522",NA,NA,NA
"551","cg06827976",NA,NA,NA
"552","cg20227766",NA,NA,NA
"553","cg10957680",NA,NA,NA
"554","cg12099357",NA,NA,NA
"555","cg17386433",NA,NA,NA
"556","cg26106720",NA,NA,NA
"557","cg09009042",NA,NA,NA
"558","cg05492605",NA,NA,NA
"559","cg08623383",NA,NA,NA
"560","cg27573888",NA,NA,NA
"561","cg11542231",NA,NA,NA
"562","cg05871607",NA,NA,NA
"563","cg22421699",NA,NA,NA
"564","cg00605270",NA,NA,NA
"565","cg00563229",NA,NA,NA
"566","cg13804316",NA,NA,NA
"567","cg22760576",NA,NA,NA
"568","cg27498304",NA,NA,NA
"569","cg24354652",NA,NA,NA
"570","cg18468844",NA,NA,NA
"571","cg16834431",NA,NA,NA
"572","cg19025723",NA,NA,NA
"573","cg25973092",NA,NA,NA
"574","cg01172735",NA,NA,NA
"575","cg25371560",NA,NA,NA
"576","cg25716286",NA,NA,NA
"577","cg08123074",NA,NA,NA
"578","cg16013246",NA,NA,NA
"579","cg24469114",NA,NA,NA
"580","cg13857440",NA,NA,NA
"581","cg10691259",NA,NA,NA
"582","cg08450168",NA,NA,NA
"583","cg02525756",NA,NA,NA
"584","cg20117778",NA,NA,NA
"585","cg23543604",NA,NA,NA
"586","cg16817034",NA,NA,NA
"587","cg09837361",NA,NA,NA
"588","cg19869139",NA,NA,NA
"589","cg09970593",NA,NA,NA
"590","cg11226328",NA,NA,NA
"591","cg18189938",NA,NA,NA
"592","cg14195915",NA,NA,NA
"593","cg05032943",NA,NA,NA
"594","cg05064673",NA,NA,NA
"595","cg19112780",NA,NA,NA
"596","cg14183455",NA,NA,NA
"597","cg18084114",NA,NA,NA
"598","cg12732155",NA,NA,NA
"599","cg10001720",NA,NA,NA
"600","cg07689731",NA,NA,NA
"601","cg13436343",NA,NA,NA
"602","cg24710886",NA,NA,NA
"603","cg12864581",NA,NA,NA
"604","cg19763281",NA,NA,NA
"605","cg08778586",NA,NA,NA
"606","cg07652553",NA,NA,NA
"607","cg14407437",NA,NA,NA
"608","cg03484533",NA,NA,NA
"609","cg22855405",NA,NA,NA
"610","cg14869028",NA,NA,NA
"611","cg02309594",NA,NA,NA
"612","cg19420968",NA,NA,NA
"613","cg02989257",NA,NA,NA
"614","cg13299148",NA,NA,NA
"615","cg10773309",NA,NA,NA
"616","cg01653445",NA,NA,NA
"617","cg15789095",NA,NA,NA
"618","cg17803965",NA,NA,NA
"619","cg06397510",NA,NA,NA
"620","cg10184881",NA,NA,NA
"621","cg00510956",NA,NA,NA
"622","cg21713812",NA,NA,NA
"623","cg21682382",NA,NA,NA
"624","cg02078356",NA,NA,NA
"625","cg10694959",NA,NA,NA
"626","cg16343696",NA,NA,NA
"627","cg21093060",NA,NA,NA
"628","cg10266188",NA,NA,NA
"629","cg02286990",NA,NA,NA
"630","cg13704271",NA,NA,NA
"631","cg01154193",NA,NA,NA
"632","cg24137081",NA,NA,NA
"633","cg26073060",NA,NA,NA
"634","cg26093687",NA,NA,NA
"635","cg14992253",NA,NA,NA
"636","cg07656362",NA,NA,NA
"637","cg12278770",NA,NA,NA
"638","cg01525376",NA,NA,NA
"639","cg17078393",NA,NA,NA
"640","cg24468890",NA,NA,NA
"641","cg23698287",NA,NA,NA
"642","cg09327628",NA,NA,NA
"643","cg06434451",NA,NA,NA
"644","cg16379513",NA,NA,NA
"645","cg21172540",NA,NA,NA
"646","cg18182038",NA,NA,NA
"647","cg15654964",NA,NA,NA
"648","cg13666729",NA,NA,NA
"649","cg11619390",NA,NA,NA
"650","cg18758482",NA,NA,NA
"651","cg26131911",NA,NA,NA
"652","cg18118795",NA,NA,NA
"653","cg05342835",NA,NA,NA
"654","cg17339202",NA,NA,NA
"655","cg09755102",NA,NA,NA
"656","cg23150609",NA,NA,NA
"657","cg25870263",NA,NA,NA
"658","cg20951444",NA,NA,NA
"659","cg24417499",NA,NA,NA
"660","cg13306164",NA,NA,NA
"661","cg06179485",NA,NA,NA
"662","cg27287498",NA,NA,NA
"663","cg18830459",NA,NA,NA
"664","cg06394897",NA,NA,NA
"665","cg01620569",NA,NA,NA
"666","cg22189725",NA,NA,NA
"667","cg15016234",NA,NA,NA
"668","cg11426590",NA,NA,NA
"669","cg03382564",NA,NA,NA
"670","cg11481793",NA,NA,NA
"671","cg23886755",NA,NA,NA
"672","cg21198021",NA,NA,NA
"673","cg19228118",NA,NA,NA
"674","cg05382123",NA,NA,NA
"675","cg11524446",NA,NA,NA
"676","cg08527127",NA,NA,NA
"677","cg08612871",NA,NA,NA
"678","cg01333788",NA,NA,NA
"679","cg15750705",NA,NA,NA
"680","cg15554401",NA,NA,NA
"681","cg21151355",NA,NA,NA
"682","cg13263483",NA,NA,NA
"683","cg07070934",NA,NA,NA
"684","cg15006973",NA,NA,NA
"685","cg07678643",NA,NA,NA
"686","cg20913782",NA,NA,NA
"687","cg22459359",NA,NA,NA
"688","cg15315630",NA,NA,NA
"689","cg11730961",NA,NA,NA
"690","cg21248774",NA,NA,NA
"691","cg17801256",NA,NA,NA
"692","cg17520176",NA,NA,NA
"693","cg12106731",NA,NA,NA
"694","cg19524049",NA,NA,NA
"695","cg14772955",NA,NA,NA
"696","cg15272684",NA,NA,NA
"697","cg11835197",NA,NA,NA
"698","cg26372517",NA,NA,NA
"699","cg17948627",NA,NA,NA
"700","cg24109894",NA,NA,NA
"701","cg26235710",NA,NA,NA
"702","cg17417054",NA,NA,NA
"703","cg06100291",NA,NA,NA
"704","cg16019273",NA,NA,NA
"705","cg18580491",NA,NA,NA
"706","cg27094188",NA,NA,NA
"707","cg27026509",NA,NA,NA
"708","cg24196046",NA,NA,NA
"709","cg14308291",NA,NA,NA
"710","cg03260744",NA,NA,NA
"711","cg24813212",NA,NA,NA
"712","cg07952773",NA,NA,NA
"713","cg24547948",NA,NA,NA
"714","cg18931815",NA,NA,NA
"715","cg19046959",NA,NA,NA
"716","cg16705481",NA,NA,NA
"717","cg11164347",NA,NA,NA
"718","cg11916186",NA,NA,NA
"719","cg04936062",NA,NA,NA
"720","cg07789552",NA,NA,NA
"721","cg27546682",NA,NA,NA
"722","cg01773061",NA,NA,NA
"723","cg12880200",NA,NA,NA
"724","cg10035922",NA,NA,NA
"725","cg22397854",NA,NA,NA
"726","cg05154390",NA,NA,NA
"727","cg08198370",NA,NA,NA
"728","cg09088576",NA,NA,NA
"729","cg07285167",NA,NA,NA
"730","cg06722633",NA,NA,NA
"731","cg06165395",NA,NA,NA
"732","cg15949277",NA,NA,NA
"733","cg18891404",NA,NA,NA
"734","cg03112782",NA,NA,NA
"735","cg00728398",NA,NA,NA
"736","cg26624273",NA,NA,NA
"737","cg21117584",NA,NA,NA
"738","cg12696750",NA,NA,NA
"739","cg21488617",NA,NA,NA
"740","cg06528936",NA,NA,NA
"741","cg17004373",NA,NA,NA
"742","cg06626655",NA,NA,NA
"743","cg22063989",NA,NA,NA
"744","cg26649834",NA,NA,NA
"745","cg12339802",NA,NA,NA
"746","cg16341373",NA,NA,NA
"747","cg21010197",NA,NA,NA
"748","cg12128017",NA,NA,NA
"749","cg07447922",NA,NA,NA
"750","cg01214209",NA,NA,NA
"751","cg18105315",NA,NA,NA
"752","cg08735298",NA,NA,NA
"753","cg17829314",NA,NA,NA
"754","cg07031996",NA,NA,NA
"755","cg10784030",NA,NA,NA
"756","cg02309273",NA,NA,NA
"757","cg18333824",NA,NA,NA
"758","cg25682936",NA,NA,NA
"759","cg27018070",NA,NA,NA
"760","cg05045781",NA,NA,NA
"761","cg21319745",NA,NA,NA
"762","cg17791651",NA,NA,NA
"763","cg23495059",NA,NA,NA
"764","cg17593391",NA,NA,NA
"765","cg12792157",NA,NA,NA
"766","cg00521598",NA,NA,NA
"767","cg19675684",NA,NA,NA
"768","cg14676817",NA,NA,NA
"769","cg07388493",NA,NA,NA
"770","cg16918585",NA,NA,NA
"771","cg22233974",NA,NA,NA
"772","cg13514129",NA,NA,NA
"773","cg17685111",NA,NA,NA
"774","cg03664992",NA,NA,NA
"775","cg12158019",NA,NA,NA
